type, op, unstream, num_op, matriz, t_acceso, creacion, ejecucion, computacion, glopbyte, gflops
float, SQUARE, false, 10, data/mat-512000-200-69120k.rua, 92.4696, 6.8221, 28.7829, 35.6050, 2.5000, 19.4130
float, SQUARE, false, 10, data/mat-6000-100-440k.rua, 0.7981, 2.1510, 0.4866, 2.6375, 2.5000, 1.6682
float, SQUARE, false, 10, data/mat-96000-100-7040k.rua, 9.2792, 4.7811, 3.2157, 7.9968, 2.5000, 8.8035
float, SQUARE, false, 10, data/samplematrix.rua, 0.1290, 4.7619, 0.5360, 5.2979, 2.5000, 0.0021
float, SQUARE, false, 100, data/mat-200-200-27k.rua, 0.3152, 4.3812, 0.7366, 5.1178, 25.0000, 0.5276
float, SQUARE, false, 100, data/mat-24000-100-1760k.rua, 2.5711, 2.2304, 4.0092, 6.2396, 25.0000, 28.2067
float, SQUARE, false, 100, data/mat-300-100-22k.rua, 0.1065, 2.0760, 0.3932, 2.4692, 25.0000, 0.8910
float, SQUARE, false, 100, data/mat-32000-200-4320k.rua, 8.4172, 4.5842, 12.1065, 16.6907, 25.0000, 25.8826
float, SQUARE, false, 100, data/mat-4000-200-540k.rua, 0.9158, 4.3504, 1.4647, 5.8151, 25.0000, 9.2862
float, SQUARE, false, 100, data/mat-512000-200-69120k.rua, 98.7100, 4.4256, 129.0372, 133.4628, 25.0000, 51.7897
float, SQUARE, false, 100, data/mat-6000-100-440k.rua, 0.7281, 2.2541, 1.0799, 3.3340, 25.0000, 13.1974
float, SQUARE, false, 100, data/mat-96000-100-7040k.rua, 9.5978, 2.7110, 12.3158, 15.0268, 25.0000, 46.8495
float, SQUARE, false, 100, data/samplematrix.rua, 0.0967, 4.9081, 0.9816, 5.8897, 25.0000, 0.0190
float, SQUARE, false, 1000, data/mat-200-200-27k.rua, 0.2370, 7.1885, 2.8060, 9.9944, 250.0000, 2.7015
float, SQUARE, false, 1000, data/mat-24000-100-1760k.rua, 2.5332, 2.2844, 37.6822, 39.9667, 250.0000, 44.0367
float, SQUARE, false, 1000, data/mat-300-100-22k.rua, 0.4739, 2.3156, 0.7271, 3.0427, 250.0000, 7.2304
float, SQUARE, false, 1000, data/mat-32000-200-4320k.rua, 5.8597, 4.3237, 83.9912, 88.3149, 250.0000, 48.9159
float, SQUARE, false, 1000, data/mat-4000-200-540k.rua, 0.9100, 4.3366, 12.1197, 16.4563, 250.0000, 32.8141
float, SQUARE, false, 1000, data/mat-512000-200-69120k.rua, 98.2860, 4.3510, 1063.4330, 1067.7839, 250.0000, 64.7322
float, SQUARE, false, 1000, data/mat-6000-100-440k.rua, 0.7619, 2.1773, 7.3104, 9.4877, 250.0000, 46.3758
float, SQUARE, false, 1000, data/mat-96000-100-7040k.rua, 9.4629, 2.2681, 111.4990, 113.7671, 250.0000, 61.8808
float, SQUARE, false, 1000, data/samplematrix.rua, 0.1068, 4.6575, 0.7579, 5.4154, 250.0000, 0.2068
float, DIVISION, false, 1, data/mat-200-200-27k.rua, 1.0522, 4.4976, 0.9688, 5.4664, 0.2500, 0.0049
float, DIVISION, false, 1, data/mat-24000-100-1760k.rua, 2.6491, 2.3095, 0.7084, 3.0179, 0.2500, 0.5832
float, DIVISION, false, 1, data/mat-300-100-22k.rua, 0.3502, 2.2212, 0.4115, 2.6327, 0.2500, 0.0084
float, DIVISION, false, 1, data/mat-32000-200-4320k.rua, 8.4045, 4.3510, 1.4338, 5.7848, 0.2500, 0.7468
float, DIVISION, false, 1, data/mat-4000-200-540k.rua, 0.9028, 4.4516, 0.7615, 5.2131, 0.2500, 0.1036
float, DIVISION, false, 1, data/mat-512000-200-69120k.rua, 96.0412, 4.1519, 17.1809, 21.3328, 0.2500, 3.2401
float, DIVISION, false, 1, data/mat-6000-100-440k.rua, 0.7972, 2.2042, 0.4046, 2.6088, 0.2500, 0.1687
float, DIVISION, false, 1, data/mat-96000-100-7040k.rua, 12.0294, 2.2127, 1.8715, 4.0842, 0.2500, 1.7237
float, DIVISION, false, 1, data/samplematrix.rua, 0.1249, 5.4802, 0.5865, 6.0667, 0.2500, 0.0002
float, DIVISION, false, 10, data/mat-200-200-27k.rua, 0.1555, 4.5323, 2.2481, 6.7803, 2.5000, 0.0398
float, DIVISION, false, 10, data/mat-24000-100-1760k.rua, 2.4753, 2.1984, 0.9351, 3.1334, 2.5000, 5.6168
float, DIVISION, false, 10, data/mat-300-100-22k.rua, 2.7279, 2.6744, 0.5931, 3.2675, 2.5000, 0.0673
float, DIVISION, false, 10, data/mat-32000-200-4320k.rua, 5.8916, 7.0414, 1.9855, 9.0270, 2.5000, 4.7857
float, DIVISION, false, 10, data/mat-4000-200-540k.rua, 0.9796, 4.3449, 0.7409, 5.0858, 2.5000, 1.0618
float, DIVISION, false, 10, data/mat-512000-200-69120k.rua, 112.0500, 4.3456, 33.1616, 37.5072, 2.5000, 18.4285
float, DIVISION, false, 10, data/mat-6000-100-440k.rua, 0.7404, 3.0141, 3.0652, 6.0794, 2.5000, 0.7238
float, DIVISION, false, 10, data/mat-96000-100-7040k.rua, 9.1403, 2.7440, 10.7534, 13.4973, 2.5000, 5.2158
float, DIVISION, false, 10, data/samplematrix.rua, 2.6921, 8.0385, 3.6289, 11.6674, 2.5000, 0.0010
float, DIVISION, false, 100, data/mat-200-200-27k.rua, 1.3032, 4.9822, 1.4429, 6.4252, 25.0000, 0.4202
float, DIVISION, false, 100, data/mat-24000-100-1760k.rua, 2.8985, 2.2672, 12.7474, 15.0146, 25.0000, 11.7220
float, DIVISION, false, 100, data/mat-300-100-22k.rua, 0.0979, 2.4191, 2.7291, 5.1482, 25.0000, 0.4273
float, DIVISION, false, 100, data/mat-32000-200-4320k.rua, 5.8234, 7.0852, 9.4344, 16.5196, 25.0000, 26.1508
float, DIVISION, false, 100, data/mat-4000-200-540k.rua, 0.9770, 4.3583, 1.0722, 5.4304, 25.0000, 9.9440
float, DIVISION, false, 100, data/mat-512000-200-69120k.rua, 98.1967, 6.9359, 116.7140, 123.6499, 25.0000, 55.8998
float, DIVISION, false, 100, data/mat-6000-100-440k.rua, 0.7743, 2.1866, 1.0668, 3.2534, 25.0000, 13.5244
float, DIVISION, false, 100, data/mat-96000-100-7040k.rua, 9.3968, 5.5483, 17.6422, 23.1905, 25.0000, 30.3573
float, DIVISION, false, 100, data/samplematrix.rua, 0.0978, 4.5957, 0.5770, 5.1727, 25.0000, 0.0217
float, DIVISION, false, 1000, data/mat-200-200-27k.rua, 0.1474, 4.2791, 0.8840, 5.1631, 250.0000, 5.2294
float, DIVISION, false, 1000, data/mat-24000-100-1760k.rua, 2.4193, 2.2320, 31.7903, 34.0222, 250.0000, 51.7309
float, DIVISION, false, 1000, data/mat-300-100-22k.rua, 2.1094, 2.1380, 0.6551, 2.7931, 250.0000, 7.8767
float, DIVISION, false, 1000, data/mat-32000-200-4320k.rua, 8.4661, 4.5542, 73.6060, 78.1602, 250.0000, 55.2711
float, DIVISION, false, 1000, data/mat-4000-200-540k.rua, 0.9005, 4.2693, 11.2443, 15.5136, 250.0000, 34.8082
float, DIVISION, false, 1000, data/mat-512000-200-69120k.rua, 95.7221, 3.9626, 1054.9385, 1058.9010, 250.0000, 65.2752
float, DIVISION, false, 1000, data/mat-6000-100-440k.rua, 1.0076, 2.2191, 7.0786, 9.2977, 250.0000, 47.3236
float, DIVISION, false, 1000, data/mat-96000-100-7040k.rua, 9.0586, 2.2468, 112.4002, 114.6470, 250.0000, 61.4059
float, DIVISION, false, 1000, data/samplematrix.rua, 1.0389, 4.9276, 0.8016, 5.7292, 250.0000, 0.1955
int, false, false, 1, data/mat-200-200-27k.rua, 0.1874, 4.1350, 0.7201, 4.8551, 0.2500, 0.0056
int, false, false, 1, data/mat-24000-100-1760k.rua, 2.5355, 2.2501, 0.7517, 3.0018, 0.2500, 0.5863
int, false, false, 1, data/mat-300-100-22k.rua, 0.0868, 2.3172, 0.3962, 2.7134, 0.2500, 0.0081
int, false, false, 1, data/mat-32000-200-4320k.rua, 5.9058, 7.0530, 1.4327, 8.4856, 0.2500, 0.5091
int, false, false, 1, data/mat-4000-200-540k.rua, 0.9010, 4.2712, 0.7472, 5.0184, 0.2500, 0.1076
int, false, false, 1, data/mat-512000-200-69120k.rua, 98.4954, 4.2829, 18.5667, 22.8496, 0.2500, 3.0250
int, false, false, 1, data/mat-6000-100-440k.rua, 0.8052, 2.1621, 0.4527, 2.6148, 0.2500, 0.1683
int, false, false, 1, data/mat-96000-100-7040k.rua, 9.2469, 2.2052, 7.6456, 9.8508, 0.2500, 0.7147
int, false, false, 1, data/samplematrix.rua, 0.0416, 7.5599, 0.2790, 7.8389, 0.2500, 0.0001
int, false, false, 10, data/mat-200-200-27k.rua, 0.1440, 4.4934, 2.4007, 6.8941, 2.5000, 0.0392
int, false, false, 10, data/mat-24000-100-1760k.rua, 2.5191, 2.2032, 0.9537, 3.1569, 2.5000, 5.5750
int, false, false, 10, data/mat-300-100-22k.rua, 1.3690, 2.1528, 0.3827, 2.5355, 2.5000, 0.0868
int, false, false, 10, data/mat-32000-200-4320k.rua, 5.6982, 4.3418, 2.0138, 6.3556, 2.5000, 6.7972
int, false, false, 10, data/mat-4000-200-540k.rua, 0.9588, 4.3747, 0.7482, 5.1229, 2.5000, 1.0541
int, false, false, 10, data/mat-512000-200-69120k.rua, 102.5187, 4.4865, 26.0499, 30.5363, 2.5000, 22.6353
int, false, false, 10, data/mat-6000-100-440k.rua, 0.7482, 2.2632, 2.7422, 5.0054, 2.5000, 0.8790
int, false, false, 10, data/mat-96000-100-7040k.rua, 9.3945, 4.9775, 3.8661, 8.8436, 2.5000, 7.9605
int, false, false, 10, data/samplematrix.rua, 3.7384, 3.9322, 0.4855, 4.4177, 2.5000, 0.0025
int, false, false, 100, data/mat-200-200-27k.rua, 1.1268, 4.5617, 0.7644, 5.3261, 25.0000, 0.5069
int, false, false, 100, data/mat-24000-100-1760k.rua, 2.4764, 2.3491, 3.6305, 5.9796, 25.0000, 29.4332
int, false, false, 100, data/mat-300-100-22k.rua, 0.0831, 4.9369, 0.4194, 5.3563, 25.0000, 0.4107
int, false, false, 100, data/mat-32000-200-4320k.rua, 8.4142, 7.1076, 11.0181, 18.1257, 25.0000, 23.8335
int, false, false, 100, data/mat-4000-200-540k.rua, 0.9283, 5.4928, 3.6705, 9.1633, 25.0000, 5.8931
